Well,fr_change_CTB,fr_change_Nuc
B03,1.343698993221795,0.5645328477377783
B04,0.7894579564126176,0.3259094893710278
B05,1.0387592487194082,0.3896034897377104
B06,0.6367428683486946,0.46978502365768365
B07,0.7616540262124879,0.9695804963760157
B08,0.8120681713496085,0.6558750365817969
B09,1.5448659633174933,0.5041533546325878
B10,1.2277548950250223,0.376981852913085
B12,1.0306486615092898,0.7152221412964311
B15,0.708699802447001,0.4141722173180322
B16,1.114308948712048,0.4864271232259518
B17,1.2172703852315359,0.5090558465587783
B18,0.4561779869742307,0.3425936340119222
B19,1.43277484929433,0.6691301876065947
B20,1.2642043718888767,0.5115048205943744
B22,1.2539976629972005,0.4394143134618258
D03,1.1253635324527236,0.583474513300639
D06,0.8916084747654183,0.6208838291100502
D08,0.8716991265225056,0.8449696444058977
D12,0.49780004539708167,0.5354276144828781
D14,0.5396485484248155,0.3574947504441932
D16,0.8554403892944038,0.9655467783382506
D17,0.6805963465263474,0.45894585873072785
D22,0.6384871835775933,0.407247285568133
F09,0.8661584183174585,0.8939765365084923
F14,1.5172970081783361,0.8740942028985508
H03,1.0276126578192,0.7630343587694766
H07,0.8459446944421357,0.6582600647848218
H13,0.9197881016934086,0.9560675060273238
H14,0.8808716591706677,0.8021372516279847
H16,1.009970101466676,0.7190025795356837
H17,0.833542950935058,0.4085564610011641
H19,0.7595104377152802,0.42169838945827226
J03,0.9637223144967946,0.6591460723742277
J05,0.8745107662616928,0.6821932755916251
J08,1.0124675792507205,0.7966995576726779
J09,0.9512154486936765,0.7353567132414176
J12,0.777193619699522,0.4055272927265228
J15,0.9046845473818417,0.6123565801300693
J17,0.9614906471831588,0.6650851505058758
J19,0.9803358673095275,0.6397247980855519
J22,0.6266763679903737,0.4250966306172647
L11,0.8123505173304987,0.8715728715728716
L13,1.0118326912493119,0.9267182521620391
L14,0.8829244811628023,0.8320374906805837
L16,0.8900474248473935,0.7127531882970743
N07,0.9508521730859544,0.6127920910724985
N13,0.915003670153985,0.6652961030991101
N16,0.6730270405578135,0.39352445758268734
N17,0.7842179121955462,0.3893462469733656
N18,1.0828100404529375,1.0243615393668353
N19,0.6707936079493467,0.48676367461430575
N22,0.5733508253090498,0.5068509193113948
