control_wells
C05
C06
C07
C08
C09
C12
C13
C14
C15
C16
C17
C18
C19
C20
C21
C22
E05
E06
E07
E08
E09
E12
E13
E14
E15
E16
E17
E18
E19
E20
E21
E22
G05
G06
G07
G08
G09
G12
G13
G14
G15
G16
G17
G18
G19
G20
G21
G22
I05
I06
I07
I08
I09
I12
I13
I14
I15
I16
I17
I18
I19
I20
I21
I22
K05
K06
K07
K08
K09
K12
K13
K14
K15
K16
K17
K18
K19
K20
K21
K22
M05
M06
M07
M08
M09
M12
M13
M14
M15
M16
M17
M18
M19
M20
M21
M22
