Well,CBD_pl_1,CBD_pl_2,CBD_pl_3,V_pl_1,V_pl_2,V_pl_3,veh,cbd,fr_change,log_fr_change,veh_sd,cbd_sd
G21,7572,7639,7442,10607,12936,12415,11986,7551,0.6299849824795595,-0.667,1222.3301518002409,100.16486409914407
G22,6400,6930,6434,13196,12536,13045,12925.666666666666,6588,0.5096835753152642,-0.972,345.8038943293342,296.66816479022486
G23,6872,7014,6854,13215,12003,11482,12233.333333333334,6913.333333333333,0.5651226158038146,-0.823,889.1638394206848,87.64321612842224
G24,6484,6239,5919,12783,11777,10030,11530,6214,0.5389418907198612,-0.892,1393.0215360862157,283.32843133014376
H01,4292,2324,3148,6374,6821,5485,6226.666666666667,3254.6666666666665,0.5226980728051391,-0.936,680.0767113593387,988.3265317360115
H02,2845,2525,2761,3166,3015,2495,2892,2710.3333333333335,0.9371830336560627,-0.094,352.0042613378423,165.9076048086203
H03,7093,3638,4548,7009,9282,3733,6674.666666666667,5093,0.7630343587694766,-0.39,2789.567051234534,1790.8168527239184
H04,6242,6867,7652,12574,13217,11485,12425.333333333334,6920.333333333333,0.5569535357871016,-0.844,875.5183226713953,706.5113823098205
H05,4289,3052,3737,6122,9159,5636,6972.333333333333,3692.6666666666665,0.5296170578954917,-0.917,1909.2360601385396,619.6905141547136
H06,6458,4447,3347,7545,7736,8627,7969.333333333333,4750.666666666667,0.5961184540739503,-0.746,577.5069985145923,1577.5741926557157
H07,4537,3204,3639,5611,6130,5547,5762.666666666667,3793.3333333333335,0.6582600647848218,-0.603,319.7254030153584,679.7693236189268
H08,5812,5467,5263,9203,11111,10585,10299.666666666666,5514,0.5353571312987475,-0.901,985.4832993680478,277.501351348061
H09,5431,5963,6452,12450,12511,12125,12362,5948.666666666667,0.4812058458717576,-1.055,207.50180722104568,510.6508918364222
H10,5885,5506,6079,11618,12457,11274,11783,5823.333333333333,0.49421482927381255,-1.017,608.5154065428418,291.43495557899934
H11,6747,5016,6652,13724,11804,13088,12872,6138.333333333333,0.47687487051999167,-1.068,978.0552131653918,973.129145249146
H12,7138,5885,6711,11872,11674,14501,12682.333333333334,6578,0.5186742712960286,-0.947,1578.1198729289654,637
H13,4882,2847,2978,3619,4010,3570,3733,3569,0.9560675060273238,-0.065,241.1368905829218,1138.9762947489294
H14,3449,2639,3520,3899,4098,3981,3992.6666666666665,3202.6666666666665,0.8021372516279847,-0.318,100.01166598619051,489.4387942667942
H15,5543,3807,3866,7671,10290,10586,9515.666666666666,4405.333333333333,0.4629558272322836,-1.111,1604.3691387375081,985.6897754026535
H16,3587,2200,2575,3538,4528,3564,3876.6666666666665,2787.3333333333335,0.7190025795356837,-0.476,564.2209968915844,717.4652140231841
H17,6025,4170,3843,11079,12507,10774,11453.333333333334,4679.333333333333,0.4085564610011641,-1.291,925.15746407481,1176.7949410722895
H18,6463,5707,6284,13330,13088,13049,13155.666666666666,6151.333333333333,0.46758051029974407,-1.097,152.2311838400179,395.0750983462933
H19,5238,4651,4512,11374,10952,11824,11383.333333333334,4800.333333333333,0.42169838945827226,-1.246,436.0749171109631,385.34962479978276
H20,5783,6461,4581,11357,10503,11210,11023.333333333334,5608.333333333333,0.5087692772905956,-0.975,456.57675513908214,952.0931326993874
H21,4513,3334,3400,6543,6349,6355,6415.666666666667,3749,0.5843508079181171,-0.775,110.31470134725168,662.4658481763419
H22,6806,5404,6223,12533,11604,11599,11912,6144.333333333333,0.515810387284531,-0.955,537.8075864098608,704.3027284721629
H23,2662,2717,2831,6048,5795,5698,5847,2736.6666666666665,0.4680462915455219,-1.095,180.70141117323905,86.19938128161554
H24,3399,3240,3165,7090,7415,7216,7240.333333333333,3268,0.45136043460245845,-1.148,163.86071320891207,119.48640089985136
I01,6483,6342,6110,14634,13417,13233,13761.333333333334,6311.666666666667,0.4586522623776766,-1.125,761.3306333869231,188.34100279369156
I02,7751,6952,7717,12979,11690,12437,12368.666666666666,7473.333333333333,0.6042149517598232,-0.727,647.2111968541129,451.80785001296
I03,3924,3824,4203,3974,3873,4209,4018.6666666666665,3983.6666666666665,0.9912906436629064,-0.013,172.39586228599958,196.41877031824973
I04,4326,4160,4363,4858,4389,4573,4606.666666666667,4283,0.9297395079594789,-0.105,236.30559310632776,108.11567878897121
I05,7267,7053,8117,13237,11933,14321,13163.666666666666,7479,0.5681547694411385,-0.816,1195.6878076376513,562.7894810672992
I06,7319,6021,7830,14027,13873,12922,13607.333333333334,7056.666666666667,0.5185929155847337,-0.947,598.4900444730332,932.5954821536149
I07,7459,6351,7424,11550,12266,14673,12829.666666666666,7078,0.5516900932734028,-0.858,1636.0233290920191,629.8436313879819
I08,8111,6827,7344,13066,12712,12833,12870.333333333334,7427.333333333333,0.5770894304731812,-0.793,179.9286895782141,646.0436001798433
I09,6589,5838,7700,12366,11302,13004,12224,6709,0.5488383507853403,-0.866,859.839519910547,936.7822585852061
I10,3384,3360,3741,5049,4356,3960,4455,3495,0.7845117845117845,-0.35,551.2086719201722,213.37994282499938
I11,4145,3481,3716,4475,3448,4197,4040,3780.6666666666665,0.9358085808580858,-0.096,531.19582076669235,336.69026319947733
I12,6279,6171,7211,11404,12208,11846,11819.333333333334,6553.666666666667,0.5544869987026905,-0.851,402.66280351347746,571.8228163805055
I13,7473,5345,7394,13000,13753,13109,13287.333333333334,6737.333333333333,0.5070493201545331,-0.98,406.9451232455469,1206.442842961627
I14,7197,5368,7065,12668,11881,13771,12773.333333333334,6543.333333333333,0.5122651356993736,-0.965,949.3926128495699,1020.0060457337169
I15,5692,5869,7618,13596,14353,13067,13672,6393,0.46759801053247513,-1.097,646.3598069187161,1064.5661087973822
I16,7230,6533,7390,11524,12028,12514,12022,7051,0.5865080685410081,-0.77,495.0272719759993,455.67861481531037
I17,5822,6733,6587,14722,12118,12740,13193.333333333334,6380.666666666667,0.48362809499747345,-1.048,1359.9034279438129,489.29575241701554
I18,7331,6157,7799,13553,13300,13332,13395,7095.666666666667,0.5297250217742939,-0.917,137.76429145464365,845.9180417353288
I19,7378,6413,6835,13490,13584,11574,12882.666666666666,6875.333333333333,0.533688677292486,-0.906,1134.3127140843187,483.7626828656106
I20,7706,6860,7805,13202,11679,11992,12291,7457,0.6067040924253518,-0.721,804.3214531516612,519.3813627769098
I21,6990,6880,6770,12571,13063,11588,12407.333333333334,6880,0.554510773198646,-0.851,750.9968930250866,110
I22,5781,6639,8537,11640,12189,11950,11926.333333333334,6985.666666666667,0.5857346488163447,-0.772,275.2641155932486,1410.3252579931104
I23,6734,7306,7438,11804,11156,12555,11838.333333333334,7159.333333333333,0.604758552724201,-0.726,700.1316542860587,374.21562411707686
