,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
1,K09,-,183849,
1,K10,-,206573,
1,K11,-,175337,
1,K12,-,125770,
1,K13,-,157323,
1,K14,-,185179,
1,K15,-,143523,
1,K16,-,188419,
1,K17,-,184350,
1,K18,-,173011,
1,K19,-,141403,
1,K20,-,132838,
1,K21,-,199014,
1,K22,-,142141,
1,K23,-,188130,
1,K24,-,371081,
1,L01,-,194796,
1,L02,-,85266,
1,L03,-,123974,
1,L04,-,158315,
1,L05,-,169936,
1,L06,-,141548,
1,L07,-,105242,
1,L08,-,78981,
1,L09,-,100182,
1,L10,-,106456,
1,L11,-,52210,
1,L12,-,159189,
1,L13,-,38105,
1,L14,-,80142,
1,L15,-,153099,
1,L16,-,54315,
1,L17,-,184187,
1,L18,-,171589,
1,L19,-,169809,
1,L20,-,148073,
1,L21,-,79419,
1,L22,-,94742,
1,L23,-,72670,
1,L24,-,178500,
1,M01,-,253836,
1,M02,-,164218,
1,M03,-,189075,
1,M04,-,123906,
1,M05,-,138763,
1,M06,-,156785,
1,M07,-,162213,
1,M08,-,161795,
1,M09,-,180550,
1,M10,-,173623,
1,M11,-,192500,
1,M12,-,168747,
1,M13,-,215900,
1,M14,-,169305,
1,M15,-,174645,
1,M16,-,134232,
1,M17,-,174939,
1,M18,-,165535,
1,M19,-,131228,
1,M20,-,148563,
1,M21,-,160023,
1,M22,-,144081,
1,M23,-,177311,
1,M24,-,211732,
1,N01,-,269290,
1,N02,-,244480,
1,N03,-,187376,
1,N04,-,124035,
1,N05,-,158614,
1,N06,-,142759,
1,N07,-,129226,
1,N08,-,103162,
1,N09,-,119711,
1,N10,-,122377,
1,N11,-,191758,
1,N12,-,160093,
1,N13,-,101572,
1,N14,-,162487,
1,N15,-,148367,
1,N16,-,136533,
1,N17,-,153378,
1,N18,-,39190,
1,N19,-,150402,
1,N20,-,156749,
1,N21,-,172773,
1,N22,-,106873,
1,N23,-,199670,
1,N24,-,274522,
1,O01,-,337395,
1,O02,-,233390,
1,O03,-,182477,
1,O04,-,139509,
1,O05,-,144092,
1,O06,-,171126,
1,O07,-,197416,
1,O08,-,180846,
1,O09,-,168561,
1,O10,-,217255,
1,O11,-,202192,
1,O12,-,218009,
1,O13,-,153118,
1,O14,-,221019,
1,O15,-,178086,
1,O16,-,195356,
1,O17,-,249869,
1,O18,-,234971,
1,O19,-,197560,
1,O20,-,227728,
1,O21,-,186677,
1,O22,-,253105,
1,O23,-,286636,
1,O24,-,248706,
1,P01,-,337433,
1,P02,-,284547,
1,P03,-,217065,
1,P04,-,170634,
1,P05,-,313069,
1,P06,-,200410,
1,P07,-,211720,
1,P08,-,250595,
1,P09,-,204783,
1,P10,-,250514,
1,P11,-,244221,
1,P12,-,296725,
1,P13,-,306511,
1,P14,-,126302,
1,P15,-,346415,
1,P16,-,278688,
1,P17,-,319503,
1,P18,-,283015,
1,P19,-,291086,
1,P20,-,298688,
1,P21,-,319768,
1,P22,-,350855,
1,P23,-,394269,
1,P24,-,343727,

,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
2,A01,-,247989,
2,A02,-,280460,
2,A03,-,233188,
2,A04,-,246264,
2,A05,-,253390,
2,A06,-,222032,
2,A07,-,203269,
2,A08,-,236168,
2,A09,-,240457,
2,A10,-,226263,
2,A11,-,275314,
2,A12,-,264958,
2,A13,-,319142,
2,A14,-,230394,
2,A15,-,252922,
2,A16,-,205279,
2,A17,-,237490,
2,A18,-,242705,
2,A19,-,227421,
2,A20,-,191312,
2,A21,-,213000,
2,A22,-,255740,
2,A23,-,212369,
2,A24,-,227986,
2,B01,-,297366,
2,B02,-,227774,
2,B03,-,122340,
2,B04,-,137810,
2,B05,-,147785,
2,B06,-,110111,
2,B07,-,49484,
2,B08,-,129771,
2,B09,-,181639,
2,B10,-,145966,
2,B11,-,99260,
2,B12,-,99559,
2,B13,-,142357,
2,B14,-,143608,
2,B15,-,136561,
2,B16,-,122416,
2,B17,-,140824,
2,B18,-,150197,
2,B19,-,129652,
2,B20,-,143094,
2,B21,-,125475,
2,B22,-,120314,
2,B23,-,167025,
2,B24,-,245070,
2,C01,-,226067,
2,C02,-,123376,
2,C03,-,150364,
2,C04,-,132757,
2,C05,-,123748,
2,C06,-,138457,
2,C07,-,177330,
2,C08,-,145597,
2,C09,-,162015,
2,C10,-,154870,
2,C11,-,132613,
2,C12,-,162663,
2,C13,-,155597,
2,C14,-,158867,
2,C15,-,174400,
2,C16,-,167838,
2,C17,-,157209,
2,C18,-,173673,
2,C19,-,138728,
2,C20,-,113593,
2,C21,-,132660,
2,C22,-,135186,
2,C23,-,133935,
2,C24,-,225215,
2,D01,-,229799,
2,D02,-,183878,
2,D03,-,155316,
2,D04,-,120451,
2,D05,-,111140,
2,D06,-,86564,
2,D07,-,113524,
2,D08,-,46934,
2,D09,-,140693,
2,D10,-,136645,
2,D11,-,122321,
2,D12,-,107393,
2,D13,-,124332,
2,D14,-,109163,
2,D15,-,134678,
2,D16,-,45510,
2,D17,-,131870,
2,D18,-,120030,
2,D19,-,122657,
2,D20,-,101000,
2,D21,-,114569,
2,D22,-,106093,
2,D23,-,136505,
2,D24,-,197294,
2,E01,-,253234,
2,E02,-,161135,
2,E03,-,118083,
2,E04,-,111861,
2,E05,-,96175,
2,E06,-,136315,
2,E07,-,140976,
2,E08,-,145804,
2,E09,-,164646,
2,E10,-,116186,
2,E11,-,123844,
2,E12,-,137123,
2,E13,-,151104,
2,E14,-,159545,
2,E15,-,146063,
2,E16,-,129511,
2,E17,-,126426,
2,E18,-,167887,
2,E19,-,156603,
2,E20,-,140941,
2,E21,-,125514,
2,E22,-,162530,
2,E23,-,135239,
2,E24,-,242818,
2,F01,-,203859,
2,F02,-,127401,
2,F03,-,145164,
2,F04,-,95476,
2,F05,-,144177,
2,F06,-,117952,
2,F07,-,128515,
2,F08,-,115498,
2,F09,-,63269,
2,F10,-,73736,
2,F11,-,217233,
2,F12,-,122459,
2,F13,-,132627,
2,F14,-,41041,
2,F15,-,163127,
2,F16,-,120196,
2,F17,-,139246,
2,F18,-,120614,
2,F19,-,133795,
2,F20,-,117651,
2,F21,-,124675,
2,F22,-,109687,
2,F23,-,132046,
2,F24,-,177863,
2,G01,-,201194,
2,G02,-,121181,
2,G03,-,101849,
2,G04,-,90467,
2,G05,-,118960,
2,G06,-,109829,
2,G07,-,126021,
2,G08,-,114100,
2,G09,-,121665,
2,G10,-,139502,
2,G11,-,139607,
2,G12,-,120252,
2,G13,-,144762,
2,G14,-,133350,
2,G15,-,160021,
2,G16,-,122450,
2,G17,-,158472,
2,G18,-,156007,
2,G19,-,129182,
2,G20,-,117639,
2,G21,-,110262,
2,G22,-,123164,
2,G23,-,130736,
2,G24,-,206256,
2,H01,-,96579,
2,H02,-,46791,
2,H03,-,87424,
2,H04,-,138201,
2,H05,-,82956,
2,H06,-,88347,
2,H07,-,69606,
2,H08,-,104251,
2,H09,-,104646,
2,H10,-,102067,
2,H11,-,105693,
2,H12,-,110112,
2,H13,-,67928,
2,H14,-,59919,
2,H15,-,89935,
2,H16,-,79482,
2,H17,-,100651,
2,H18,-,119525,
2,H19,-,101802,
2,H20,-,96710,
2,H21,-,72805,
2,H22,-,93266,
2,H23,-,71913,
2,H24,-,138620,
2,I01,-,261770,
2,I02,-,133576,
2,I03,-,120278,
2,I04,-,209560,
2,I05,-,142852,
2,I06,-,172543,
2,I07,-,154454,
2,I08,-,181777,
2,I09,-,191782,
2,I10,-,160728,
2,I11,-,224818,
2,I12,-,118479,
2,I13,-,180298,
2,I14,-,237540,
2,I15,-,174274,
2,I16,-,295879,
2,I17,-,164764,
2,I18,-,183698,
2,I19,-,196403,
2,I20,-,193893,
2,I21,-,183921,
2,I22,-,163306,
2,I23,-,145180,
2,I24,-,232886,
2,J01,-,44930,
2,J02,-,129815,
2,J03,-,179820,
2,J04,-,188010,
2,J05,-,93960,
2,J06,-,131706,
2,J07,-,160101,
2,J08,-,64564,
2,J09,-,101620,
2,J10,-,179568,
2,J11,-,282662,
2,J12,-,186572,
2,J13,-,158967,
2,J14,-,163582,
2,J15,-,264421,
2,J16,-,145733,
2,J17,-,288076,
2,J18,-,182148,
2,J19,-,139786,
2,J20,-,218255,
2,J21,-,117241,
2,J22,-,92241,
2,J23,-,96753,
2,J24,-,130723,
2,K01,-,202807,
2,K02,-,142734,
2,K03,-,131488,
2,K04,-,153859,
2,K05,-,150905,
2,K06,-,161502,
2,K07,-,159682,
2,K08,-,189797,
2,K09,-,164577,
2,K10,-,188700,
2,K11,-,138906,
2,K12,-,159997,
2,K13,-,174112,
2,K14,-,168300,
2,K15,-,188289,
2,K16,-,181225,
2,K17,-,183928,
2,K18,-,201742,
2,K19,-,165512,
2,K20,-,161308,
2,K21,-,166051,
2,K22,-,177193,
2,K23,-,152022,
2,K24,-,297744,
2,L01,-,102088,
2,L02,-,38403,
2,L03,-,158254,
2,L04,-,142668,
2,L05,-,154532,
2,L06,-,121469,
2,L07,-,93578,
2,L08,-,82748,
2,L09,-,161733,
2,L10,-,96505,
2,L11,-,62612,
2,L12,-,112991,
2,L13,-,37563,
2,L14,-,54118,
2,L15,-,148561,
2,L16,-,60169,
2,L17,-,156467,
2,L18,-,154561,
2,L19,-,144545,
2,L20,-,116649,
2,L21,-,67279,
2,L22,-,103508,
2,L23,-,59588,
2,L24,-,246451,
2,M01,-,220611,
2,M02,-,166451,
2,M03,-,154128,
2,M04,-,127260,
2,M05,-,149715,
2,M06,-,152423,
2,M07,-,161073,
2,M08,-,159846,
2,M09,-,145918,
2,M10,-,164033,
2,M11,-,161624,
2,M12,-,124357,
2,M13,-,158472,
2,M14,-,158028,
2,M15,-,174674,
2,M16,-,197859,
2,M17,-,180299,
2,M18,-,156103,
2,M19,-,175015,
2,M20,-,159474,
2,M21,-,149930,
2,M22,-,166244,
