,,,,NORM 2 V MEAN,,,,,,,,
,V_ pl 1,V pl2,CBD _Pl1,NORM_V_ pl 1,NORM_V_ pl 2,AVG NORM_V,STD DEV,PLUS 1 STDEV,MINUS 1 STD DEV,NORM V _CBD _Pl1,,
J17,264935,229030,353913,1.016147282,0.878435133,0.947291207,0.097377194,1.044668401,0.849914013,1.357418736,,
J18,357754,349043,105000,1.372150734,1.338740052,1.355445393,0.02362492,1.379070312,1.331820473,0.402723176,,
J19,230074,417817,353533,0.882439352,1.602519896,1.242479624,0.509173836,1.75165346,0.733305788,1.355961262,,
J20,394447,252489,241275,1.512885224,0.968411161,1.240648193,0.385001302,1.625649494,0.855646891,0.925400326,,
J21,119872,122338,197572,0.459764119,0.469222361,0.46449324,0.006687987,0.471181227,0.457805253,0.757779269,,
J22,281741,204087,369532,1.080606002,0.782767284,0.931686643,0.210603778,1.142290421,0.721082865,1.417324767,,
J23,269349,518845,287466,1.033076997,1.99000863,1.511542813,0.676652847,2.18819566,0.834889967,1.102564004,,
J24,447583,200219,293760,1.716686164,0.767931729,1.242308946,0.670870694,1.913179641,0.571438252,1.126704382,,
K01,532828,404809,392701,2.04363985,1.552628248,1.798134049,0.347197634,2.145331683,1.450936416,1.506188513,,
K02,359898,411149,233403,1.380373957,1.576945057,1.478659507,0.138996758,1.617656265,1.339662749,0.895207594,,
K03,273108,272303,262649,1.047494487,1.044406942,1.045950714,0.002183224,1.048133938,1.043767491,1.007379423,,
K04,242940,271996,271481,0.931786365,1.043229456,0.987507911,0.078802166,1.066310076,0.908705745,1.041254195,,
K05,195258,269870,235356,0.748904018,1.035075271,0.891989644,0.202353634,1.094343278,0.689636011,0.902698245,,
K06,222124,280302,254294,0.851947454,1.075086777,0.963517116,0.157783328,1.121300444,0.805733787,0.975334164,,
K07,310959,277205,309713,1.192670438,1.063208361,1.1279394,0.091543512,1.219482912,1.036395887,1.187891457,,
K08,253206,203969,259779,0.971161185,0.782314699,0.876737942,0.133534631,1.010272573,0.743203312,0.996371656,,
K09,317735,188947,313455,1.218659507,0.724698437,0.971678972,0.349283222,1.320962194,0.62239575,1.202243743,,
K10,314385,245548,218026,1.20581072,0.941789242,1.073799981,0.186691378,1.260491359,0.887108603,0.836229744,,
K11,252464,238557,177775,0.968315275,0.914975549,0.941645412,0.037716882,0.979362294,0.90392853,0.681848691,,
K12,259166,300200,253831,0.99402052,1.151404737,1.072712628,0.111287447,1.184000075,0.961425181,0.973558347,,
K13,299305,273499,167412,1.147972001,1.048994151,1.098483076,0.069987909,1.168470985,1.028495167,0.642101831,,
K14,302337,366200,292450,1.159601112,1.404545019,1.282073065,0.173201497,1.455274563,1.108871568,1.121679931,,
K15,221225,276056,267088,0.848499377,1.058801419,0.953650398,0.148706,1.102356398,0.804944398,1.024405024,,
K16,311265,211762,286104,1.193844089,0.81220443,1.003024259,0.269859991,1.27288425,0.733164269,1.097340109,,
K17,250566,321762,272827,0.961035574,1.2341049,1.097570237,0.193089172,1.290659409,0.904481065,1.046416723,,
K18,301209,258084,264512,1.155274715,0.989870553,1.072572634,0.116958404,1.189531038,0.95561423,1.014524883,,
K19,247629,264262,210993,0.949770831,1.013566018,0.981668425,0.045110009,1.026778434,0.936558416,0.809254962,,
K20,191896,284454,279656,0.736009205,1.091011602,0.913510404,0.251024602,1.164535006,0.662485801,1.072609071,,
K21,277998,241715,281249,1.06624988,0.927087928,0.996668904,0.09840236,1.095071264,0.898266544,1.078718957,,
K22,299403,263616,240208,1.148347876,1.011088311,1.079718094,0.097057169,1.176775263,0.982660925,0.921307891,,
K23,333030,420251,338971,1.27732285,1.611855403,1.444589126,0.236550237,1.681139364,1.208038889,1.300109311,,
K24,664376,550881,665433,2.548186787,2.112881388,2.330534088,0.307807399,2.638341487,2.022726689,2.552240867,,
L01,421672,347518,508855,1.61730559,1.332890977,1.475098284,0.201111502,1.676209785,1.273986782,1.951692396,,
L02,104540,72025,158531,0.400958865,0.276248921,0.338603893,0.088183247,0.42678714,0.250420646,0.608039122,,
L03,252248,315711,247887,0.967486816,1.210896538,1.089191677,0.172116666,1.261308343,0.917075011,0.95076038,,
L04,266884,247063,238731,1.023622591,0.947599962,0.985611276,0.053756117,1.039367393,0.93185516,0.915642919,,
L05,245830,218378,268928,0.942870841,0.837579825,0.890225333,0.074451991,0.964677324,0.815773342,1.031462269,,
L06,260357,162918,252864,0.998588551,0.62486528,0.811726915,0.26426226,1.075989175,0.547464656,0.969849458,,
L07,197052,42743,233678,0.755784831,0.163939016,0.459861923,0.418498189,0.878360112,0.041363735,0.896262345,,
L08,223161,176700,223620,0.855924825,0.677725573,0.766825199,0.1260059,0.892831099,0.640819299,0.857685301,,
L09,255435,294344,228513,0.979710423,1.12894429,1.054327356,0.105524279,1.159851636,0.948803077,0.876452201,,
L10,276276,204921,86480,1.05964522,0.785966056,0.922805638,0.193520393,1.116326031,0.729285245,0.331690478,,
L11,181608,173432,172083,0.696550005,0.665191294,0.680870649,0.022173957,0.703044607,0.658696692,0.66001726,,
L12,236996,214850,223891,0.908988398,0.824048327,0.866518362,0.0600617,0.926580062,0.806456662,0.85872471,,
L13,36003,38075,37198,0.138088024,0.146035094,0.142061559,0.005619428,0.147680987,0.136442132,0.142671397,,
L14,63288,101467,96598,0.242738518,0.3891725,0.315955509,0.103544462,0.41949997,0.212411047,0.370497651,,
L15,237431,246599,201512,0.910656822,0.945820309,0.928238566,0.02486434,0.953102905,0.903374226,0.772890977,,
L16,164734,106786,186187,0.631830473,0.409573305,0.520701889,0.15715955,0.677861439,0.363542339,0.714112571,,
L17,306491,220286,238158,1.175533608,0.844897881,1.010215745,0.233794765,1.244010509,0.77642098,0.913445201,,
L18,299383,202917,255904,1.148271167,0.778279797,0.963275482,0.261623407,1.224898889,0.701652075,0.981509253,,
L19,243948,276947,193712,0.935652507,1.062218813,0.99893566,0.089495893,1.088431553,0.909439767,0.742974398,,
L20,310018,253500,210279,1.189061271,0.97228881,1.080675041,0.153281277,1.233956318,0.927393763,0.806516445,,
L21,157163,151545,174706,0.602792214,0.581244606,0.59201841,0.015236459,0.60725487,0.576781951,0.670077668,,
L22,327454,241183,235608,1.255936331,0.925047464,1.090491898,0.233973762,1.32446566,0.856518136,0.903664781,,
L23,199149,157166,229209,0.763827788,0.60280372,0.683315754,0.11386121,0.797176964,0.569454544,0.87912168,,
L24,437149,294186,348040,1.676666986,1.128338287,1.402502637,0.387726941,1.790229578,1.014775696,1.334893087,,
M01,486333,412631,481433,1.865310193,1.582629207,1.7239697,0.199885642,1.923855342,1.524084058,1.846516445,,
M02,354130,435055,271955,1.358251031,1.668635536,1.513443283,0.219474988,1.732918271,1.293968295,1.043072203,,
M03,246692,309461,342480,0.946177006,1.186924921,1.066550964,0.170234483,1.236785447,0.896316481,1.313567936,,
M04,243725,316618,194415,0.9347972,1.2143753,1.07458625,0.19769157,1.27227782,0.87689468,0.745670726,,
M05,254289,243873,258324,0.975314987,0.935364848,0.955339918,0.028249014,0.983588932,0.927090903,0.990791063,,
M06,214234,353409,227874,0.821685684,1.355485665,1.088585675,0.377453586,1.466039261,0.711132088,0.874001342,,
M07,347022,315379,189702,1.33098859,1.209623166,1.270305878,0.085818314,1.356124192,1.184487564,0.727594208,,
M08,272734,244026,286993,1.046060025,0.935951673,0.991005849,0.077858362,1.068864211,0.913147487,1.100749832,,
M09,280378,191944,224768,1.075378272,0.736193307,0.90578579,0.239839989,1.145625778,0.665945801,0.862088407,,
M10,256155,284592,229818,0.982471953,1.091540896,1.037006424,0.077123389,1.114129813,0.959883036,0.881457474,,
M11,337938,306825,253345,1.296147282,1.176814651,1.236480967,0.084380912,1.320861879,1.152100055,0.971694314,,
M12,346555,222219,298045,1.32919743,0.852311823,1.090754627,0.337209047,1.427963673,0.75354558,1.143139323,,
M13,258525,402140,292644,0.991561991,1.542391409,1.2669767,0.389495217,1.656471916,0.877481483,1.12242401,,
M14,217882,234410,268557,0.835677438,0.899069901,0.86737367,0.044825241,0.91219891,0.822548429,1.030039313,,
M15,246152,230655,360240,0.944105859,0.884667753,0.914386806,0.042029087,0.956415893,0.872357719,1.381685684,,
M16,298569,255595,282602,1.145149103,0.980324096,1.0627366,0.11654888,1.17928548,0.94618772,1.083908333,,
M17,253511,310822,281998,0.972331,1.19214498,1.08223799,0.155431956,1.237669946,0.926806034,1.081591715,,
M18,208671,279128,282480,0.800349027,1.070583949,0.935466488,0.191084946,1.126551433,0.744381542,1.083440407,,
M19,302041,311196,303327,1.158465816,1.193579442,1.176022629,0.024829083,1.200851712,1.151193547,1.163398217,,
M20,307386,282812,334296,1.178966344,1.084713779,1.131840061,0.066646628,1.198486689,1.065193434,1.282178541,,
M21,268935,251359,311733,1.031489117,0.964077093,0.997783105,0.047667499,1.045450604,0.950115605,1.195639083,,
M22,382117,290936,387076,1.465594017,1.115873046,1.290733531,0.24729007,1.538023601,1.043443462,1.484614057,,
M23,444749,517299,398309,1.705816473,1.98407901,1.844947742,0.196761327,2.041709069,1.648186415,1.527697766,,
M24,379479,504367,574493,1.455476076,1.934478857,1.694977467,0.338706114,2.033683581,1.356271352,2.203444242,,
N01,463239,465171,672756,1.776734107,1.784144213,1.78043916,0.005239737,1.785678897,1.775199424,2.580327932,,
N02,238478,380506,294493,0.914672548,1.459415093,1.18704382,0.385191147,1.572234968,0.801852673,1.129515773,,
N03,281096,207988,191342,1.078132132,0.797729408,0.93793077,0.198274667,1.136205437,0.739656103,0.733884361,,
N04,380263,245738,150229,1.458483076,0.942517979,1.200500527,0.364842419,1.565342947,0.835658108,0.576197143,,
N05,240798,220698,178344,0.923570812,0.84647809,0.885024451,0.054512787,0.939537238,0.830511664,0.684031067,,
N06,241980,244420,264352,0.928104324,0.937462844,0.932783584,0.006617473,0.939401057,0.926166112,1.013911209,,
N07,270724,300139,299234,1.038350753,1.151170774,1.094760763,0.079775802,1.174536565,1.014984961,1.147699684,,
N08,346121,207502,267767,1.327532841,0.795865375,1.061699108,0.37594567,1.437644779,0.685753438,1.027009301,,
N09,353121,195946,248828,1.354381053,0.751542813,1.052961933,0.426271007,1.47923294,0.626690926,0.954369546,,
N10,216168,219230,167482,0.829103462,0.840847636,0.834975549,0.008304386,0.843279935,0.826671163,0.642370314,,
N11,377193,431964,277299,1.446708217,1.656780132,1.551744175,0.148543276,1.70028745,1.403200899,1.063568894,,
N12,236541,227767,260592,0.907243264,0.873590948,0.890417106,0.023795781,0.914212887,0.866621326,0.999489884,,
N13,275991,177974,219377,1.058552114,0.682611947,0.870582031,0.265829841,1.136411872,0.60475219,0.841411449,,
N14,219230,272834,238417,0.840847636,1.046443571,0.943645604,0.145378279,1.089023883,0.798267324,0.914438585,,
N15,424553,235957,289538,1.628355547,0.905003356,1.266679452,0.511487239,1.778166691,0.755192212,1.110511075,,
N16,281750,282883,235180,1.080640522,1.084986096,1.082813309,0.003072785,1.085886094,1.079740524,0.902023205,,
N17,247729,214321,226116,0.950154377,0.822019369,0.886086873,0.090605133,0.976692006,0.79548174,0.867258606,,
N18,59900,51651,55800,0.229743983,0.198105283,0.213924633,0.022371939,0.236296572,0.191552694,0.214018602,,
N19,232748,289453,219638,0.892695369,1.110185061,1.001440215,0.153788436,1.155228651,0.847651779,0.842412504,,
N20,201566,245916,234419,0.773098092,0.94320069,0.858149391,0.120280701,0.978430092,0.73786869,0.89910442,,
N21,238469,228877,212119,0.914638029,0.877848308,0.896243168,0.026014261,0.922257429,0.870228907,0.813573689,,
N22,296305,156699,80236,1.136465625,0.601012561,0.868739093,0.378622492,1.247361585,0.490116601,0.307741874,,
N23,446717,289013,336193,1.713364656,1.108497459,1.410931058,0.427705697,1.838636755,0.983225361,1.289454406,,
N24,375204,512102,669095,1.43907949,1.964146131,1.70161281,0.371278182,2.072890993,1.330334628,2.566286317,,
O01,419760,480116,374276,1.609972193,1.841465145,1.725718669,0.163690236,1.889408905,1.562028433,1.435520184,,
O02,388313,379461,321160,1.48935852,1.455407038,1.472382779,0.024007323,1.496390102,1.448375456,1.231795954,,
O03,408655,403484,462379,1.567379423,1.547546265,1.557462844,0.01402416,1.571487004,1.543438684,1.773435612,,
O04,325200,329735,268356,1.247291207,1.264685013,1.25598811,0.012299278,1.268287388,1.243688832,1.029268386,,
O05,329529,286561,271698,1.263894908,1.099092914,1.181493911,0.116532608,1.298026519,1.064961303,1.04208649,,
O06,322427,387782,273431,1.23665548,1.487321891,1.361988685,0.177247919,1.539236604,1.184740766,1.04873334,,
O07,632521,363799,216811,2.426008246,1.395336082,1.910672164,0.728795276,2.639467441,1.181876888,0.831569662,,
O08,351929,470049,242910,1.349809186,1.802853581,1.576331384,0.320350764,1.896682148,1.255980619,0.931671301,,
O09,249953,242705,202918,0.958684438,0.930885032,0.944784735,0.019657148,0.964441883,0.925127587,0.778283632,,
O10,344706,406813,371607,1.322105667,1.560314508,1.441210087,0.168439087,1.609649174,1.272771001,1.425283345,,
O11,254828,583016,356437,0.977382299,2.236133858,1.606758078,0.890071763,2.496829841,0.716686316,1.367099434,,
O12,342607,293749,476949,1.314055039,1.126662192,1.220358615,0.132506753,1.352865368,1.087851863,1.829318247,,
O13,350763,273640,351840,1.345337041,1.049534951,1.197435996,0.209163664,1.40659966,0.988272332,1.34946783,,
O14,432970,367758,498804,1.660638604,1.410520664,1.535579634,0.176860092,1.712439725,1.358719542,1.9131422,,
O15,318347,278618,427224,1.221006808,1.068627865,1.144817336,0.107748184,1.25256552,1.037069152,1.638600058,,
O16,426842,305894,284309,1.637134912,1.173243839,1.405189376,0.328020523,1.733209899,1.077168852,1.090455461,,
O17,387307,304019,369970,1.485500048,1.166052354,1.325776201,0.225883631,1.551659832,1.09989257,1.419004698,,
O18,450625,448754,303053,1.728353629,1.721177486,1.724765558,0.0050743,1.729839857,1.719691258,1.162347301,,
O19,315257,123106,374438,1.20915524,0.472167993,0.840661617,0.52112868,1.361790297,0.319532937,1.436141528,,
O20,312948,219509,372839,1.200299166,0.841917729,1.021108448,0.253413944,1.274522392,0.767694504,1.43000863,,
O21,246214,442868,296747,0.944343657,1.698601975,1.321472816,0.533341172,1.854813988,0.788131645,1.138160897,,
O22,491171,452606,532435,1.883866142,1.735951673,1.809908908,0.104591324,1.914500232,1.705317584,2.042132515,,
O23,248717,411747,191044,0.953943811,1.579238661,1.266591236,0.442150229,1.708741465,0.824441007,0.732741394,,
O24,668565,432632,670147,2.564253524,1.659342219,2.111797871,0.63986892,2.751666791,1.471928951,2.57032122,,
P01,617894,574700,457084,2.36990699,2.204238182,2.287072586,0.117145538,2.404218124,2.169927048,1.753126858,,
P02,450073,540751,428692,1.726236456,2.074028191,1.900132323,0.245925894,2.146058217,1.654206429,1.644230511,,
P03,542438,399878,313168,2.08049861,1.533715601,1.807107105,0.386633973,2.193741079,1.420473132,1.201142967,,
P04,372062,411227,312175,1.427028478,1.577244223,1.502136351,0.106218572,1.608354922,1.395917779,1.197334356,,
P05,275743,606492,369720,1.057600921,2.326175089,1.691888005,0.897017397,2.588905401,0.794870608,1.418045834,,
P06,426159,493110,329569,1.634515294,1.891303097,1.762909196,0.181576397,1.944485593,1.581332799,1.264048327,,
P07,664382,261815,500224,2.5482098,1.00418065,1.776195225,1.091793482,2.867988707,0.684401743,1.918588551,,
P08,291027,336321,355643,1.116222073,1.289945345,1.203083709,0.122840903,1.325924612,1.080242805,1.36405408,,
P09,389970,375870,498858,1.495713875,1.441633905,1.46867389,0.038240313,1.506914203,1.430433577,1.913349314,,
P10,473310,444761,377306,1.815361013,1.705862499,1.760611756,0.077427142,1.838038897,1.683184614,1.447141624,,
P11,470153,417982,323446,1.803252469,1.603152747,1.703202608,0.14149187,1.844694478,1.561710738,1.240563812,,
P12,532416,428513,459930,2.042059641,1.643543964,1.842801803,0.281793138,2.124594941,1.561008665,1.764042574,,
P13,586161,401253,313514,2.248196375,1.538989357,1.893592866,0.501485092,2.395077958,1.392107774,1.202470035,,
P14,505903,400438,255539,1.940370122,1.535863458,1.73811679,0.286029405,2.024146195,1.452087384,0.980109311,,
P15,371267,375613,544745,1.423979289,1.440648193,1.432313741,0.011786695,1.444100436,1.420527045,2.089347013,,
P16,323375,406275,509776,1.240291495,1.558251031,1.399271263,0.224831344,1.624102607,1.174439919,1.955224854,,
P17,461359,385508,513875,1.769523444,1.478600058,1.624061751,0.2057139,1.82977565,1.418347851,1.970946399,,
P18,418920,421052,651825,1.606750408,1.614927606,1.610839007,0.005782152,1.616621159,1.605056854,2.500047943,,
P19,570205,445871,367992,2.186997795,1.710119858,1.948558826,0.337203623,2.285762449,1.611355204,1.411418161,,
P20,428839,386865,533942,1.644794324,1.483804775,1.564299549,0.113836801,1.678136351,1.450462748,2.047912552,,
P21,368763,466667,652896,1.4143753,1.78988206,1.60212868,0.265523376,1.867652056,1.336605303,2.50415572,,
P22,437832,408781,453069,1.679286605,1.567862691,1.623574648,0.078788605,1.702363253,1.544786042,1.737727491,,
P23,450994,454938,529318,1.729768914,1.744895963,1.737332438,0.010696439,1.748028878,1.726635999,2.03017739,,
P24,671188,666493,644626,2.574313932,2.556306453,2.565310193,0.012733211,2.578043403,2.552576982,2.472436475,,
,,,,,,#DIV/0!,,,,,,
,,,,,,#DIV/0!,,,,,,
,,,,,,#DIV/0!,,,,,,
,,,,,,#DIV/0!,,,,,,
