,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Signal,
1,A01,674309,
1,A02,340527,
1,A03,673521,
1,A04,671174,
1,A05,674843,
1,A06,688428,
1,A07,673271,
1,A08,447142,
1,A09,679548,
1,A10,486449,
1,A11,652209,
1,A12,683749,
1,A13,680075,
1,A14,683222,
1,A15,459365,
1,A16,346423,
1,A17,681639,
1,A18,435059,
1,A19,681121,
1,A20,688462,
1,A21,691071,
1,A22,681647,
1,A23,664092,
1,A24,680077,
1,B01,585411,
1,B02,369012,
1,B03,351645,
1,B04,682698,
1,B05,661492,
1,B06,265249,
1,B07,196474,
1,B08,413490,
1,B09,268551,
1,B10,306651,
1,B11,173692,
1,B12,258357,
1,B13,450973,
1,B14,648941,
1,B15,489072,
1,B16,593952,
1,B17,392425,
1,B18,328884,
1,B19,585870,
1,B20,544231,
1,B21,671174,
1,B22,464306,
1,B23,674315,
1,B24,681126,
1,C01,425241,
1,C02,353484,
1,C03,142995,
1,C04,105516,
1,C05,217800,
1,C06,206858,
1,C07,225202,
1,C08,221696,
1,C09,217767,
1,C10,125601,
1,C11,175122,
1,C12,239296,
1,C13,282313,
1,C14,344341,
1,C15,279507,
1,C16,234556,
1,C17,216360,
1,C18,361488,
1,C19,213760,
1,C20,228884,
1,C21,248803,
1,C22,384187,
1,C23,302837,
1,C24,439849,
1,D01,285530,
1,D02,201261,
1,D03,264728,
1,D04,248947,
1,D05,237157,
1,D06,212774,
1,D07,229202,
1,D08,168862,
1,D09,263660,
1,D10,562854,
1,D11,371140,
1,D12,454801,
1,D13,299343,
1,D14,200202,
1,D15,264165,
1,D16,115489,
1,D17,238528,
1,D18,189194,
1,D19,261774,
1,D20,179349,
1,D21,212571,
1,D22,221660,
1,D23,371653,
1,D24,685837,
1,E01,326393,
1,E02,294153,
1,E03,145948,
1,E04,107430,
1,E05,176904,
1,E06,217333,
1,E07,172729,
1,E08,175002,
